memory_decay,memory_gain,predict_weight_phase_mean,predict_weight_centroid_mean,predict_weight_peak_mean,predict_weight_sum_mean,predict_bias,predict_variance,predict_mse,predict_rmse,predict_mae,predict_normalized_bias,predict_normalized_variance,predict_normalized_mse,predict_resonance_mse,predict_offresonance_mse,predict_resonance_concentration_ratio,predict_te_reference_mse,predict_te_family_tension,predict_te_weight_roughness,predict_te_total,predict_te_alpha_mean,predict_te_beta_mean,predict_te_gamma_mean,predict_te_adaptive_reference_mse,predict_te_adaptive_family_tension,predict_te_adaptive_weight_roughness,predict_te_adaptive_total
0.3,0.5,-0.44468227299888197,-0.20779143851989004,-0.4823835386972155,-1.1348572502159875,-0.08098809857969849,0.006471914579347894,0.013030986690902855,0.1141533472610543,0.09057888805293444,-0.6253897087244121,0.2919184569072278,0.6830307446856329,0.003007348877911025,0.0169290680626219,0.17764408925444772,0.013030986690902855,0.4140018494313364,0.12997239848919795,0.12303006897319685,1.2531276473722626,1.017043861405572,0.09028072064419651,0.015412608687601186,0.2075756149682096,0.013431633283341427,0.2364198569391522
0.3,0.75,-0.4439274539287384,-0.2073814399643166,-0.4816784812533881,-1.1329873751464432,-0.0814967287972935,0.006400883719185514,0.01304260052384512,0.11420420536847634,0.09079498281690646,-0.6288974078284035,0.289753255182448,0.6852652047557332,0.0030490473182647857,0.016928982326015248,0.18010812815246596,0.01304260052384512,0.4136580296729138,0.127050422399034,0.12280962906202528,1.2402811632767428,1.031136002326981,0.09028072064419651,0.01524457096595126,0.21324764520077547,0.01314507169585727,0.24163728786258404
0.3,1.0,-0.4430193881612434,-0.20654241116659058,-0.4805155255167937,-1.1300773248446279,-0.08248571451304766,0.006297387041196534,0.013101280139924539,0.1144608236032073,0.09087056289900021,-0.6331362318704383,0.28952191165799274,0.6903833997650901,0.0031629020057681945,0.016966204969874225,0.1864236587607159,0.013101280139924539,0.41232310630607766,0.12432720427759976,0.12239841693032394,1.2302273931150314,1.0421646343524318,0.09028072064419651,0.015183762345532332,0.2171743539884482,0.012874884127438395,0.2452330004614189
0.3,1.5,-0.440743516534199,-0.20357726284468122,-0.4768159191653038,-1.121136698544184,-0.08590475325769167,0.006031794171273853,0.013411420803538743,0.11580768887918774,0.09240122137159444,-0.6438013691669201,0.29477311037373943,0.7092533133149403,0.0037914346524599665,0.017152526528958264,0.22104234300754258,0.013411420803538743,0.40672666041926525,0.11951565127700309,0.12106886847220522,1.2155058010925257,1.0583137026754132,0.09028072064419651,0.01543592442670597,0.22108557166192166,0.012386509371267469,0.2489080054598951
0.3,2.0,-0.4378546581177488,-0.1988959935541615,-0.47128471964274565,-1.1080353713146558,-0.09131264262578602,0.005799117935294054,0.014137116638598573,0.11889960739463597,0.0944964328409187,-0.6575167244587519,0.30739446514862323,0.7397227080915895,0.00552058202215469,0.01748799121166008,0.3156784535935639,0.014137116638598573,0.39737900371593426,0.11572187062212315,0.11926796109868829,1.2052452975616885,1.0695691139308243,0.09028072064419651,0.016445201256732055,0.22097333336892813,0.011980676530860808,0.24939921115652094
0.4,0.0,-0.4639174493216986,-0.22707607678062192,-0.48303000227141446,-1.1740235283737348,-0.08216904791721692,0.006652093253783706,0.013403845689405596,0.11577497868453959,0.09133504553160368,-0.6262330506058901,0.3037203048294957,0.695888138500655,0.0034369582830189043,0.017279857458555977,0.19889968949466785,0.013403845689405596,0.41067204417812364,0.13158346799603282,0.12265103013373815,1.2936434818273634,0.9725994169611275,0.0924785228419987,0.016566756433969113,0.1881233636918505,0.013765655283997313,0.21845577540981695
0.4,0.25,-0.45970473871787776,-0.2271916429812933,-0.48329825096989737,-1.1701946326690684,-0.08186589403831306,0.006672763519991069,0.01337478812668337,0.11564941905034963,0.09172030816327321,-0.6318592945618495,0.29840779659052363,0.6976539647147219,0.003254591022138938,0.017310420334006208,0.18801340229418434,0.01337478812668337,0.41288557704625295,0.12844035299047277,0.12301820003777025,1.2715439357609448,0.9968418412035517,0.0924785228419987,0.016162569901242357,0.19900023247370857,0.013456915927343847,0.22861971830229477
0.4,0.5,-0.45533878141670525,-0.22687817893981208,-0.4831086013756131,-1.1653255617321305,-0.08211049105689755,0.006661948130707869,0.013404080872312723,0.11577599436978601,0.09255242438747598,-0.6388330141190047,0.29469291104693995,0.7028005309753124,0.0031718841762403875,0.017383268476340853,0.18246765161324044,0.013404080872312723,0.41411906214180805,0.1254884144473929,0.12320826713013437,1.2552600597120045,1.0147046801190223,0.0924785228419987,0.015928859462366066,0.20689903344701852,0.013164441908832487,0.23599233481821705
0.4,0.75,-0.45081957741818157,-0.22613568465617817,-0.482461053488562,-1.1594163155629216,-0.08283539454377746,0.006617963574625016,0.013479666163848294,0.11610196451330311,0.09324400312514083,-0.6465579585783469,0.2929134227514438,0.710950616552443,0.0031570389565664125,0.017494021188902358,0.18046388091544877,0.013479666163848294,0.41436272224854925,0.12271497537073905,0.12320609549452256,1.2427631315814225,1.0284133704494995,0.0924785228419987,0.015814847671129964,0.21266143337562063,0.012887168285690434,0.24136344933244103
0.4,1.0,-0.4461471267223062,-0.22496416013039178,-0.4813556073087439,-1.152466894161442,-0.0839732690896844,0.006547047431687966,0.013598557353296509,0.11661285243615521,0.09372770891181786,-0.6543038329546761,0.2937426515449658,0.7218561573641464,0.003204340240500144,0.017640752897161764,0.18164418827133466,0.013598557353296509,0.4136140870103215,0.1201180500107121,0.12300798160641249,1.232869730144712,1.039266083627794,0.0924785228419987,0.015798256782117614,0.21677961681751864,0.012624894699298395,0.24520276829893464
