memory_decay,memory_gain,trial,effective_memory_gain,detuning_shift,perturb_noise_sigma_frac,perturb_weight_jitter_sigma,perturb_te_adaptive_total,perturb_te_adaptive_reference_mse,perturb_te_adaptive_family_tension,perturb_te_adaptive_weight_roughness,perturb_rmse,perturb_mse,perturb_bias,perturb_weight_phase_mean,perturb_weight_centroid_mean,perturb_weight_peak_mean,baseline_predict_te_adaptive_total,te_ratio_to_baseline,within_local_band,within_global_band
0.0,0.5,3,0.589495084200658,-0.18505353464695004,0.03,0.035,0.260414182040461,0.015413997636991649,0.22821047458849825,0.01678970981497112,0.11342964840726052,0.012866285137794739,-0.06664399647866276,-0.5137349425113896,-0.1631005835820702,-0.48695548634653174,0.24143703505754366,1.0786008119193247,0,1
0.0,0.5,4,0.4867811761999886,-0.01270557527058763,0.03,0.035,0.2390147347224262,0.012483405069003813,0.21108765171756008,0.015443677935862352,0.10305158885302824,0.010619629965133574,-0.07524455427396975,-0.5129631111617184,-0.1574575788136471,-0.4676393184682322,0.24143703505754366,0.989967155061608,1,1
0.0,0.5,5,0.372646753201044,-0.062094098170269334,0.03,0.035,0.23790175601891098,0.015404970428650792,0.20716391781643392,0.015332867773826277,0.1102144297081046,0.012147220515882731,-0.06912305048447054,-0.5072300702047595,-0.14935260795778288,-0.48850173207396996,0.24143703505754366,0.9853573457038598,1,1
0.0,0.5,6,0.540709480652592,0.07887147538238684,0.03,0.035,0.2317534607110284,0.017499641575230977,0.1995571856123427,0.014696633523454707,0.11582162363501061,0.013414648501450048,-0.08709775193550992,-0.5228435775145447,-0.15974469957267684,-0.46277721073497635,0.24143703505754366,0.9598919265049486,1,1
0.0,0.5,7,0.4052888458659512,-0.09692921262905549,0.03,0.035,0.2400744787653102,0.017778404471240378,0.20614649466318613,0.016149579630883686,0.119513132331728,0.01428338879974113,-0.0806280532329728,-0.4980235565450139,-0.15195415524633316,-0.4845754402647144,0.24143703505754366,0.9943564735546528,1,1
0.0,0.5,8,0.6586209961086834,-0.02295617836474588,0.03,0.035,0.25176027077418195,0.014695333424742905,0.22053994735379434,0.016524989995644758,0.10968929959164418,0.012031742444905473,-0.07166798747893034,-0.5212277112009587,-0.1604671899696511,-0.4718783218090289,0.24143703505754366,1.0427574655817733,1,1
0.0,0.5,9,0.45905624332286876,-0.04823186198094089,0.03,0.035,0.22919489403005636,0.01374183912079448,0.2002434733404027,0.015209581568859138,0.10584463154270474,0.011203086026410927,-0.07969625750931073,-0.5215235748347115,-0.15679500860659756,-0.48680242557720793,0.24143703505754366,0.9492946845351645,0,1
0.0,0.5,10,0.2903214573527788,-0.02379973586248994,0.03,0.035,0.23766927222997228,0.013072908772980356,0.2086536564501494,0.015942707006842523,0.10332134765954842,0.010675300882185273,-0.06882903459894611,-0.5091885502319112,-0.1646345888208713,-0.4818004807812759,0.24143703505754366,0.984394428855236,1,1
0.0,0.5,11,0.29422369921978553,0.00968560269651405,0.03,0.035,0.24496435048708673,0.013747249943343252,0.21588653597997845,0.015330564563765,0.10576341169817939,0.01118589925403859,-0.060882941785686706,-0.5070890903654427,-0.15329202914537188,-0.4814424914660419,0.24143703505754366,1.0146096700893563,1,1
0.0,0.5,12,0.5831901120771245,0.02927440384104407,0.03,0.035,0.24906990326718867,0.021812464884522202,0.21274041409296685,0.014517024289699578,0.1258891751582424,0.015848084422022637,-0.07732909627030367,-0.5210745009795729,-0.1576212146958983,-0.48319015813435073,0.24143703505754366,1.0316143221682035,1,1
